surface	part	b	f	c	pi	e	b5	f1	f2	m1	m2	m3	n1	n2	n3	c5	pi5	e5	b7	tau2	tau3	tau4	tau5	tau6	tau7	tau8	tau9	tau10	tau11	tau12	tau13	tau14	tau15	tau16	tau17	tau18	tau19	tau20
1	intrinsic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	surface_total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	0	0	0	0	-0	-0	-0	-0	0	0	0	-0	-0	0
2	intrinsic	-0.04000000000000001	0.003490747116303516	-0.0003046328857495328	0.0003046328857495328	0	-0.0009000000000000003	0.00020071795918745223	0.0001221761490706231	-2.13243020024673E-05	-3.0463288574953287E-06	-1.2185315429981313E-05	2.6584909186535003E-07	1.0633963674614E-06	4.235164736271502E-23	-1.8479861362762605E-24	1.8479861362762605E-24	-0	-1.8500000000000013E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	aspheric	0.04000000000000001	0	0	0	0	0.0009000000000000004	-0.0001309030168613819	-5.2361206744552754E-05	3.0463288574953283E-06	1.0842021724855046E-21	-0	0	0	0	0	0	0	1.8500000000000002E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	surface_total	0	0.003490747116303516	-0.0003046328857495328	0.0003046328857495328	0	1.0842021724855044E-19	6.981494232607033E-05	6.981494232607036E-05	-1.8277973144971972E-05	-3.0463288574953274E-06	-1.2185315429981313E-05	2.6584909186535003E-07	1.0633963674614E-06	4.235164736271502E-23	-1.8479861362762605E-24	1.8479861362762605E-24	0	-1.0164395367051604E-20	6.981494232607021E-07	6.981494232607024E-07	-2.437063085996261E-07	-6.092657714990657E-08	-4.874126171992525E-07	4.851745926542638E-08	4.386510015778274E-08	1.1963209133940744E-08	2.658490918653499E-09	-1.1600149385010988E-09	-1.8560239016017533E-09	8.757551996704774E-25	4.739381080569642E-24	-1.798258786963252E-25	-1.798258786963252E-25	-1.0789552721779511E-25	-9.415900012439142E-27	-9.415900012439142E-27	1.0956175271941393E-27
TOTAL	transverse	-0	-0.008726867790758791	0.000761582214373832	-0.000761582214373832	-0	-2.710505431213761E-19	-0.00017453735581517583	-0.00017453735581517588	4.569493286242993E-05	7.615822143738318E-06	3.0463288574953284E-05	-6.646227296633751E-07	-2.6584909186535E-06	-1.0587911840678754E-22	4.6199653406906515E-24	-4.6199653406906515E-24	-0	2.541098841762901E-20	-1.7453735581517553E-06	-1.745373558151756E-06	6.092657714990653E-07	1.5231644287476643E-07	1.2185315429981315E-06	-1.2129364816356595E-07	-1.0966275039445685E-07	-2.990802283485186E-08	-6.646227296633747E-09	2.900037346252747E-09	4.6400597540043835E-09	-2.1893879991761934E-24	-1.1848452701424105E-23	4.49564696740813E-25	4.49564696740813E-25	2.6973881804448776E-25	2.3539750031097855E-26	2.3539750031097855E-26	-2.739043817985348E-27

# intrinsic + aspheric + induced = surface_total, per surface, unscaled,
# through b7. tau2..tau20 are given in surface_total only, as each surface's
# share of the tertiary scheme's totals; they are not split into parts.
# Summing surface_total over the surfaces and multiplying by the F/number
# (-2.5) reproduces the transverse totals exactly.
