surface	part	b	f	c	pi	e	b5	f1	f2	m1	m2	m3	n1	n2	n3	c5	pi5	e5	b7	tau2	tau3	tau4	tau5	tau6	tau7	tau8	tau9	tau10	tau11	tau12	tau13	tau14	tau15	tau16	tau17	tau18	tau19	tau20
1	intrinsic	-0.010399492432476556	-0.012611927529283685	-0.015295046083900523	-0.035300845869470916	-0.06135989104647358	-0.00016798884305934986	-0.0005375625841700822	-0.00033383503418154994	-0.0008097132211347741	-0.0006957305408300978	1.5330201142744286E-05	-0.0008437434055393568	0.0006154886307411791	0.0002984485066050655	0.00018097089646276418	0.0012647175533607845	0.0017532507550231512	-3.168666238965723E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	aspheric	-0.002832830231166824	0.0008023240653008716	-0.0002272370220702465	0	6.435886250026657E-05	0.0003656346270170672	-0.0004725120393559123	-0.00031713754674761647	0.00016180302096950773	2.4660621304880453E-05	0.0002419648873718586	6.381085728620494E-06	-7.341938580211218E-05	-1.5810175909576432E-05	-1.1887990068782956E-06	8.142758559954894E-07	1.5116246850450485E-06	4.566997430242824E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	surface_total	-0.013232322663643381	-0.011809603463982812	-0.01552228310597077	-0.035300845869470916	-0.061295532183973316	0.00019764578395771736	-0.0010100746235259944	-0.0006509725809291664	-0.0006479102001652663	-0.0006710699195252173	0.0002572950885146029	-0.0008373623198107363	0.0005420692449390669	0.00028263833069548905	0.00017978209745588588	0.00126553182921678	0.0017547623797081963	1.3983311912771009E-06	7.5666379495962545E-06	7.401981364719574E-06	-5.523350598891999E-05	-1.728707040369533E-05	-7.189039368169975E-05	-1.532340002104622E-05	1.0777933011689186E-05	7.848098501613135E-06	4.179508539563712E-06	8.023658399677481E-06	4.189283165873773E-05	1.8191482062636983E-05	2.6363792231138105E-05	3.712893738364841E-05	1.9736110676495507E-05	6.053186326389416E-07	-4.563785243539032E-05	-4.932391967157054E-05	-6.018645575083755E-05
2	intrinsic	-0.02015614847774253	0.03453791347048234	-0.05918131969566269	-0.011766948623156973	0.12157110048984915	-0.00032519560795365375	0.0016240678555624216	0.0010668394852273507	-0.0036560962892651723	-0.001929925098418073	-0.003353530015842459	0.0033069604605899827	0.011658503904680779	0.0029560857411534917	-0.0025326523480422567	4.031240097755306E-06	0.0043328365596363985	-5.733315654564699E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	induced	0	0	0	0	0	-0.0005156513107130725	0.000717643160181801	0.0003125420750484302	0.0003133022843829062	-0.0008233165195498876	0.00044917116506794797	-0.0011536790755256828	0.0019309556539745861	0.0009127441363540488	-0.00025255970936429936	0.0007269035211361261	-0.003911187584094845	-2.0439632902980264E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	surface_total	-0.02015614847774253	0.03453791347048234	-0.05918131969566269	-0.011766948623156973	0.12157110048984915	-0.0008408469186667262	0.0023417110157442226	0.001379381560275781	-0.003342794004882266	-0.0027532416179679607	-0.002904358850774511	0.0021532813850643	0.013589459558655365	0.0038688298775075404	-0.002785212057406556	0.0007309347612338814	0.0004216489755415531	-2.6172948557544963E-05	5.709038217009952E-05	3.363880750282659E-05	-0.0001938484072594111	-0.00011529210239071339	-0.00012516253388108835	0.0004870063204023075	0.0004160516166112018	0.0002467762692496829	1.69982002618919E-05	-0.0006111598359213619	-0.0008779654372693831	-9.767042828405651E-05	-0.0005699315475935344	0.0006586944867904334	0.0006318193489964838	0.0001709290788700822	-0.00036531355919222364	-3.092648442247751E-05	9.426037539348986E-05
3	intrinsic	-0	0	-0	0	0	-0	0	0	-0	-0	0	0	0	0	-0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	surface_total	-0	0	-0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	0	0	0	0	-0	-0	-0	-0	0	0	0	-0	-0	0
4	intrinsic	0.039014639847490304	-0.05079679051531293	0.0661370689757263	0.027151340244756014	-0.12146086185092535	0.0003578693225563778	-0.00061006085438254	-0.00014411747823414646	0.00037527991441530775	-0.00045121473068415746	-0.0023342030072326025	0.0005874784501813332	0.008894371054955042	0.002927627463605822	-0.0019058753272744645	-0.0015025536664841186	0.004437750912454239	8.685480137552057E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	induced	0	0	0	0	0	0.001241310952988651	-0.00291088163958595	-0.0019395473016171245	0.003851158557121264	0.004142512717039028	0.005550184080850491	-0.0030620525438006287	-0.02241574609017252	-0.006970066680668831	0.0043102736145453095	0.00042222969078502346	-0.004273721892930382	4.564537828531838E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	surface_total	0.039014639847490304	-0.05079679051531293	0.0661370689757263	0.027151340244756014	-0.12146086185092535	0.0015991802755450286	-0.00352094249396849	-0.002083664779851271	0.004226438471536572	0.0036912979863548707	0.0032159810736178884	-0.0024745740936192957	-0.013521375035217477	-0.004042439217063008	0.002404398287270845	-0.001080323975699095	0.00016402901952385692	5.433085842287044E-05	-9.466641897255307E-05	-5.3935309429438165E-05	0.0002819420774849696	0.00016457259813145426	0.00013816020142643043	-0.0005268254884646612	-0.00043640128606604634	-0.0002626291035538224	-1.2550507794225565E-05	0.0005697751316274733	0.0007450693040024645	7.085588157036781E-05	0.0005043228972468281	-0.0004982793180311366	-0.0004956525086847509	-0.00012741932442741184	0.00028631034935214353	4.2998608066255494E-05	-9.94239023335334E-05
5	intrinsic	0.01172684412601367	0.021186463449196977	0.03827681417615495	0.034908866028972016	0.13222191085758223	0.00014787398150422268	0.0009609471904686773	0.0006937886377872555	0.0025068854771150588	0.0018331412521458488	0.002504146171532982	0.0033118697339593116	0.010585715877248934	0.0030307829607137296	0.0027378027596175617	0.00023260919065929645	0.005366535406912699	2.40139357482369E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	induced	0	0	0	0	0	0.0002852488113471351	0.00017791312643906866	-8.403406315808605E-05	-0.0009359916422126495	-0.0006196842379634772	-0.003004356624455347	-0.002637891954930888	-0.009071322494486361	-0.002333510079932605	-0.0016089529733100201	-0.001254981317021079	-0.004780279283737551	2.8096946691577242E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	surface_total	0.01172684412601367	0.021186463449196977	0.03827681417615495	0.034908866028972016	0.13222191085758223	0.0004331227928513578	0.001138860316907746	0.0006097545746291694	0.0015708938349024092	0.0012134570141823717	-0.000500210452922365	0.0006739777790284235	0.0015143933827625727	0.0006972728807811248	0.0011288497863075416	-0.0010223721263617825	0.0005862561231751483	3.0498340266400934E-05	6.260454967261562E-05	2.9927476734398564E-05	0.00012916660863328294	6.668651327828866E-05	-7.1922030869383E-05	3.523683078368132E-05	3.077296852062489E-05	4.2442754320041506E-05	-2.0437497654492053E-06	0.0002524090473575368	5.057699293260571E-05	2.50171149706877E-05	5.062967295898343E-05	8.536409700092802E-05	0.00010851410418842778	2.8771722893380992E-05	0.00015677491858871005	8.002806770183081E-05	0.00018449506395194865
6	intrinsic	-0.02005284089884467	-0.032556934186081604	-0.05285804484979072	-0.03851001367578646	-0.1483412691065958	-0.00040920342345488966	-0.0016857066147633712	-0.001021341451076879	-0.00331641252947285	-0.0016823844783374596	-0.001273152950551178	-0.002731447429978544	-0.0019209426310979327	7.304700310229303E-05	5.929799384756677E-05	0.0025716393815974153	0.004271477313969988	-1.0360908450401343E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	induced	0	0	0	0	0	-0.00045630485808581436	-0.0006508355870593831	-0.0002873103798323646	-0.00010442401354400195	-0.0007107601581289953	0.0007845234363806769	0.0004167168891406848	-0.0036073935943831516	-0.0017965412953010551	-0.0020307799559908376	-0.0013417229838301318	-0.006152042808404085	-4.9552485404716777E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	surface_total	-0.02005284089884467	-0.032556934186081604	-0.05285804484979072	-0.03851001367578646	-0.1483412691065958	-0.000865508281540704	-0.0023365422018227543	-0.0013086518309092436	-0.003420836543016852	-0.002393144636466455	-0.0004886295141705011	-0.002314730540837859	-0.005528336225481084	-0.001723494292198762	-0.001971481962143271	0.0012299163977672835	-0.0018805654944340968	-5.991339385511812E-05	-0.00013236690825890195	-7.037899154254671E-05	-0.0002982444792354135	-0.00013785979861347109	-5.945409812906432E-06	-0.0003056820015642783	-0.00022725350640835138	-0.0001487767251082086	-8.960293098662589E-07	-0.0005975581157384734	-0.00023897853123460263	-7.65538307377398E-05	-0.0001599919134678286	-0.0002947374335580887	-0.00024406547763078948	-5.7984374385260816E-05	-0.0003035554367820425	-9.727579886310102E-05	-0.00021170374517958713
7	intrinsic	-0.0582854721785541	0.04028707860175656	-0.027846539482291533	-0.03258539618720393	0.04177072006751403	-0.0023323518874928152	0.0049194244846867095	0.003307296448209176	-0.004572024794107748	-0.0033002596714511536	-0.0033961180254712814	0.002281148557614005	0.005630644249062344	0.0016416190668132485	-0.0005673458059689708	2.56656830630186E-05	0.0003744107900793644	-0.00010554249614249956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	aspheric	-0.005489724740948822	-0.00222994504343841	-0.0009058113350681549	0	-0.0003679436751826009	-0.0002569018490949337	0.000508393951532795	0.000287651187788875	0.0003226386306226963	-4.597143070960482E-05	0.0006369360859488542	-8.982530110935457E-05	0.00024287504929629804	6.322625993242916E-05	-1.9729807809642566E-05	1.9138722319339018E-05	-2.0831096524253194E-05	-1.4733662949284918E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	induced	0	0	0	0	0	-0.0016878177295850758	-0.0012684590825981631	-0.0012375730879842588	0.0022501382802604213	-2.2364895178694603E-05	0.002831778021779052	-0.002279527847633257	-0.0009383304839729687	-0.00014594409974913762	0.00027295859904640743	0.0018000167736715897	-0.002731362259174011	-0.0001836606206853369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	surface_total	-0.06377519691950292	0.03805713355831815	-0.02875235081735969	-0.03258539618720393	0.041402776392331433	-0.004277071466172825	0.004159359353621341	0.002357374548013792	-0.0019992478832246306	-0.003368595997339453	7.259608225662498E-05	-8.820459112860628E-05	0.0049351888143856736	0.00155890122699654	-0.00031411701473220595	0.0018448211790539472	-0.0023777825656189	-0.0003039367797771214	0.00020467916635404917	9.950624753157172E-05	-0.0005181231551848628	-0.0003527233831820056	-0.00015494516303951332	5.742891210835914E-05	3.399577890539486E-05	-2.4561800154342355E-05	-1.7242976561778748E-05	9.631839360630493E-05	9.705818965508453E-05	0.00011406965990785767	2.0498813820080423E-05	-0.0001842303263169658	-1.0829731106998683E-05	-4.0019040284153154E-05	0.00011244918140509313	2.730074480591639E-05	1.1196399077794905E-05
TOTAL	transverse	-0.27207351597229146	-0.005655597673201712	-0.212420331644286	-0.2296221768685098	-0.14694164421257028	-0.015362489990754189	0.0031612142077057453	0.0012410455995186431	-0.014789400490152812	-0.017522785052171034	-0.001421561888189051	-0.011818616894227373	0.006267817300093783	0.0026264295697604996	-0.005557218120041879	0.0121497122665448	-0.005450274334259345	-0.0012433953195742432	0.00042937219806888255	0.0001889276645389219	-0.002678130905301992	-0.0016040083221488563	-0.0011939114688382217	-0.0010975387350290512	-0.0007042045590201729	-0.0005685014672545576	-4.729536209739393E-05	-0.0011549735203040142	-0.0007463208065126732	0.00022064603152023267	-0.0005243303252479385	-0.0008024459253813216	3.8971662510961405E-05	-0.00010279901001401477	-0.0006506530770732847	-0.000111321031540504	-0.0003330050265835982

# intrinsic + aspheric + induced = surface_total, per surface, unscaled,
# through b7. tau2..tau20 are given in surface_total only, as each surface's
# share of the tertiary scheme's totals; they are not split into parts.
