surface	part	b	f	c	pi	e	b5	f1	f2	m1	m2	m3	n1	n2	n3	c5	pi5	e5	b7	tau2	tau3	tau4	tau5	tau6	tau7	tau8	tau9	tau10	tau11	tau12	tau13	tau14	tau15	tau16	tau17	tau18	tau19	tau20
1	intrinsic	-0.02067344504020345	-0.011992779870394358	-0.006957077968381058	-0.03561133313671754	-0.02469417084685727	-0.0006898110917171045	-0.0009642678728693605	-0.0005641046412922478	-0.0006544804481042721	-0.0009823691614811792	0.0009047401266118642	-0.0005698777868031485	0.0018489406994173121	0.0006620479726624444	0.00019202884628907065	0.0010135221360799806	0.0006993467961422755	-2.7141310248836434E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	surface_total	-0.02067344504020345	-0.011992779870394358	-0.006957077968381058	-0.03561133313671754	-0.02469417084685727	-0.0006898110917171045	-0.0009642678728693605	-0.0005641046412922478	-0.0006544804481042721	-0.0009823691614811792	0.0009047401266118642	-0.0005698777868031485	0.0018489406994173121	0.0006620479726624444	0.00019202884628907065	0.0010135221360799806	0.0006993467961422755	-2.7141310248836434E-05	-4.984260308105201E-05	-3.4097778811300304E-05	-7.950193367540446E-05	-3.994131331841173E-05	2.6328289345389807E-05	2.018705340633438E-05	4.9680557655877055E-05	2.9397309750473365E-05	6.3233273665586754E-06	5.179688576306514E-05	4.685073016866353E-05	3.236259042260257E-05	1.7505152590043437E-05	5.3118575924439755E-09	-1.8768405934446434E-05	-2.384582387813688E-05	-7.480474396936952E-05	-4.713855519023271E-05	-2.7345336720876432E-05
2	intrinsic	-0.002764691262331424	0.009691742424211919	-0.033974813932048036	0.006261548432363979	0.09715002706314432	-1.8100121461484127E-09	2.6178121286021342E-05	2.6171776211710813E-05	-0.00018349254203098146	-0.0001216286022367681	-0.00032359364025465735	0.00042637422136662846	0.002351611457181809	0.0006086201165496286	-0.001066771809959468	-8.209113484561933E-06	0.0037683911990141327	-1.6172178311576154E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	induced	0	0	0	0	0	-0.0002596208808818783	0.0010157061328135378	0.00045916729998196127	-0.0008924151784512032	-0.000928309762119263	0.0003824000959744857	-0.0007865505289192184	0.0008402885081983513	0.0005572609470396865	-0.00048751792127459527	-0.00033569044752904164	-0.002091748197637166	-1.71755546956079E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	surface_total	-0.002764691262331424	0.009691742424211919	-0.033974813932048036	0.006261548432363979	0.09715002706314432	-0.00025962269089402443	0.0010418842540995592	0.0004853390761936721	-0.0010759077204821846	-0.001049938364356031	5.880645571982836E-05	-0.00036017630755259	0.00319189996538016	0.0011658810635893151	-0.0015542897312340632	-0.00034389956101360357	0.001676643001376967	-1.719172687391948E-05	4.467717711179586E-05	1.8771909561604796E-05	-7.364622852780629E-05	-5.4986626778115715E-05	3.4129930017108055E-05	5.6268358340241E-05	3.051532393989619E-05	4.61358939773696E-05	-6.364374988347934E-06	-0.00019532695907774724	5.072237685885714E-06	-3.965365926332856E-05	-5.2494715327366476E-05	0.00017125728606613358	0.00023652164113303334	8.047989474710071E-05	-0.00025087113785654736	-2.3831312176235826E-05	9.48401339797278E-05
3	intrinsic	0.00024948534351882274	0.0020281761349499345	0.016487936230490857	-0.026611566154321455	-0.08229944220763062	-2.3995627049042726E-06	-2.0052855467379644E-05	-5.457543937825863E-07	-8.873355215196439E-06	4.991297501798171E-05	0.0001852687641340837	0.00040576453641728724	0.0008440578861819079	-0.00033103670932094296	-0.001345571535721176	0.0018161031514371984	0.0038251585454865417	2.791039333877964E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	induced	0	0	0	0	0	-3.947335927814652E-05	-0.00023796704473372392	-2.3398769456078886E-05	0.0013402928339709347	0.0004206390886813313	-0.0002288759743340956	-0.00046066271786244297	-0.0015146114160227368	0.00023840494048166878	0.0028162113892161544	-0.0013333658083330665	-0.005570849106195566	-9.856064943197052E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	surface_total	0.00024948534351882274	0.0020281761349499345	0.016487936230490857	-0.026611566154321455	-0.08229944220763062	-4.187292198305079E-05	-0.00025801990020110356	-2.3944523849861472E-05	0.0013314194787557383	0.000470552063699313	-4.3607210200011915E-05	-5.489818144515572E-05	-0.0006705535298408289	-9.263176883927418E-05	0.0014706398534949784	0.0004827373431041319	-0.0017456905607090246	-9.576961009809256E-07	-2.2255301787943942E-05	-6.760409056786946E-06	6.30380438304258E-05	2.5512970632456153E-05	-1.6751005679916995E-06	-5.281138090930701E-05	-2.9950572058914056E-05	-2.6463513832369225E-05	-3.6757038789967545E-08	0.00023353254647951263	-7.508069919443684E-05	5.620496219568251E-05	-1.3674960173211102E-05	-0.00019313545825319295	-0.00022393757985054844	-8.605886474438968E-05	0.00026331744195593626	7.6182092236339435E-06	-0.00010087109267411158
4	intrinsic	0.01931918768625881	0.01842957879771546	0.017580934570183105	0.05341343416580185	0.06772522396190221	0.0003289328118672445	0.0021537501074092805	0.0018399639755123742	0.0035104748317945226	0.004141697444377756	0.0036738744382900385	0.003950980788998068	0.011342638089471344	0.003918969009295579	0.0018692542703021959	-6.826956894347537E-05	0.001718053057208957	1.2372396886290044E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	induced	0	0	0	0	0	0.00013564154913120056	-0.00012314917568027797	-0.0004378966874965665	-0.0008268493088026772	-0.0012564324681542146	-0.002064226224290368	5.884423402667625E-05	-0.011394173707399067	-0.004383369590975852	-0.0021328563245367285	-0.0004920028704541836	-0.000386243735814349	-1.2472618870782363E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	surface_total	0.01931918768625881	0.01842957879771546	0.017580934570183105	0.05341343416580185	0.06772522396190221	0.00046457436099844505	0.0020306009317290026	0.0014020672880158077	0.0026836255229918454	0.002885264976223541	0.0016096482139996704	0.004009825023024744	-5.1535617927723E-05	-0.0004644005816802736	-0.0002636020542345326	-0.000560272439397659	0.001331809321394608	-1.0022198449231887E-07	7.063955604881027E-05	6.080713226319708E-05	0.0002728977484710111	0.00012775406533152532	0.0003814428306014199	0.0005646470911080355	0.0003748503693640194	0.00019207382450666172	9.841077317221477E-06	0.0004352197775727051	8.279624075651155E-05	8.518499070296596E-05	4.257591386264494E-05	0.0002943551119332464	5.9677577176380886E-05	4.460442595332886E-05	5.0201260419227126E-05	6.93849390898065E-05	0.00010043282371703836
5	intrinsic	-0	0	-0	0	0	-0	0	-0	0	-0	0	0	-0	-0	0	-0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	induced	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	surface_total	-0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	0	0	0	0	-0	-0	-0	-0	0	0	0	-0	-0	0
