Table I entries for CookeTriplet.zmx, wavelength 2 (0.55 um), from
BuchdahlTableI in this repository. Buchdahl works in units of the focal
length, so lengths here are divided by EFL and curvatures multiplied by it.

EFL 49.999981961   Buchdahl p 0.230243186

entry     surface 1           surface 2           surface 3           surface 4           surface 5           surface 6      
t1       1.000000000E+000    9.431946675E-001    7.651879566E-001    7.601702602E-001    8.324522229E-001    8.483015712E-001
t2       0.000000000E+000    8.715251492E-001    1.481524471E+000    2.508922520E-001   -7.607968216E-001   -2.684436496E-001
t3       2.271323394E+000   -9.797490999E-001   -3.203889832E+000    1.622193158E+000    1.283145161E+000   -2.037308042E+000
t4       2.302431862E-001    1.769947170E-001    1.620363535E-002    3.122502257E-017   -1.249828351E-001   -1.710728920E-001
t5       1.000000000E+000    8.169546426E-001    1.338241243E+000    8.102057815E-001    1.315494768E+000    7.806367091E-001
t6      -2.100287726E-001    8.545691477E-001    4.290765783E-001   -4.994508683E-001   -1.086330076E+000    1.549333065E-001
t7       1.000000000E+000    7.217613870E-002    7.025537925E-001    9.355141347E-001    4.890182988E-001    8.222275714E-001
t8      -8.715251492E-001   -4.402739567E-002    8.645853328E-001    9.464494282E-001   -2.407697106E-001   -1.042949341E+000
t9       0.000000000E+000    7.595560857E-001    2.194914759E+000    6.294692211E-002    5.788118037E-001    7.206199303E-002
t10      1.385461134E+000    1.125612699E+000   -5.211522827E+000   -2.413495579E+000    4.079984294E-001    5.401949539E+000
t11     -2.909867014E-001    9.619138849E-001   -2.236142382E+000    1.205422463E+000   -4.432209648E-001    8.369419034E-001
t12      1.222311595E-001    1.644043857E+000   -1.918952644E+000   -1.204098591E+000    9.629685288E-001    2.593403528E-001
t13      4.968781543E-001    8.440356266E-001   -1.391768988E+000   -1.075274010E+000    6.018691197E-001    6.511448471E-001
t14     -1.043587089E-001    7.212868060E-001   -5.971754752E-001    5.370465379E-001   -6.538285265E-001    1.008840241E-001
t15      0.000000000E+000    1.385461134E+000    2.511073833E+000   -2.700448994E+000   -5.113944573E+000   -4.705946143E+000
t16      0.000000000E+000   -2.909867014E-001    6.709271835E-001   -1.565215199E+000   -3.597927361E-001   -8.030137009E-001
t17      0.000000000E+000    1.222311595E-001    1.766275017E+000   -1.526776268E-001   -1.356776218E+000   -3.938076893E-001
t18      0.000000000E+000    4.968781543E-001    1.340913781E+000   -5.085520736E-002   -1.126129217E+000   -5.242600974E-001
t19      0.000000000E+000   -1.043587089E-001    6.169280971E-001    1.975262188E-002    5.567991597E-001   -9.702936676E-002
t20      0.000000000E+000   -6.707647442E-001   -4.265301958E-001   -1.596688660E+000   -6.491986380E-001   -8.390446975E-001
t21      0.000000000E+000    1.408798959E-001    3.495952058E-001   -1.524923839E-001   -6.257170980E-001   -4.194816138E-001
t22      0.000000000E+000   -5.897653573E-001   -2.163621332E-001   -3.559519799E-001   -3.559519799E-001   -1.842507221E-001
t23      0.000000000E+000    6.193384706E-002    2.214832846E-001    1.915359177E-001    1.915359177E-001    9.827379742E-002
t24      0.000000000E+000   -1.300788988E-002    1.233381369E-001    1.104884232E-001    1.104884232E-001    2.118018694E-001
t25     -0.000000000E+000    1.854737084E+000    1.503973164E+000    2.945430255E+000    6.204630434E+000    1.099369015E-001
t26     -0.000000000E+000   -3.895481533E-001   -6.171606568E-002    9.342404740E-001    1.016570768E+000    2.950680460E-001
t27     -0.000000000E+000    9.242884250E-002    7.921204135E-001    1.919448160E+000    1.137659321E+000   -6.457641356E-002
t28     -0.000000000E+000   -1.941271634E-002    3.149006715E-001   -3.068168620E-001    1.090834977E+000   -2.575615223E-001
t29     -0.000000000E+000    3.626828938E-001    3.538714123E-001   -1.661362402E-001    1.031812120E+000   -1.794991478E-001
t30     -0.000000000E+000   -7.617384303E-002    1.413712600E-001   -1.203538874E-001   -7.153560967E-001   -2.268349500E-001
t31     -0.000000000E+000   -1.974549243E+000   -7.070357246E-001    2.405338172E+000    7.756847420E+000    2.780351584E-001
t32     -0.000000000E+000   -9.839955350E-002   -2.497964513E-002    6.518531883E-001    2.326708513E+000   -2.475564850E-001
t33     -0.000000000E+000   -3.861114544E-001   -1.046667472E-002   -2.033307768E-001    4.055324424E-001   -1.990245535E-001
t34      9.847376468E-001    4.254318556E-001    9.546072887E-001    1.244852161E+000    7.593000693E-002    1.982804040E+000
t35     -0.000000000E+000   -5.316297501E-001    1.823211748E+000    2.538249500E-001    3.745807283E-001    3.405056427E-001
t36      2.349253337E+000   -2.542725381E-001    2.294739396E+000    3.192339742E+000    6.883476141E-002    5.038526376E+000
t37      5.528647838E+000    2.518690804E+000    1.884800717E+001    8.161496144E+000    3.569132543E+000    1.267055814E+001
t38      4.092947210E+000    1.436614498E+000   -1.492487303E+001   -9.013335564E+000    9.293797071E-002    3.213302211E+001
t39     -0.000000000E+000    4.175431231E+000   -1.567598095E+001   -1.421756579E+001    5.062958944E+000    1.187747189E+000
t40      4.092947210E+000    5.612045729E+000   -3.060085397E+001   -2.323090136E+001    5.155896915E+000    3.332076930E+001
t41      4.092947210E+000    7.699761345E+000   -3.843884445E+001   -3.033968426E+001    7.687376387E+000    3.391464290E+001
t42     -8.596366788E-001    4.357400787E+000   -1.280847503E+001    9.347908602E+000   -5.186246611E+000    6.756439657E+000
t43      1.207464221E+000   -9.205175606E-002    1.535463989E+001    3.417210283E+000    4.018200461E-001    8.018615443E+000
t44     -2.231082494E+000    4.818693952E+000   -1.026101390E+001    2.142408338E+001   -2.025205031E-003    2.793251689E+001
t45     -2.231082494E+000    7.779004367E+000   -2.677128564E+001    1.730616756E+001   -4.975507749E+000    2.569868340E+001
t46     -2.231082494E+000    1.145123815E+001   -3.762563552E+001    1.977456350E+001   -1.001138911E+001    2.553386647E+001
t47      4.685915178E-001    5.876422377E+000   -1.285203186E+001   -5.650770372E+000    4.948971715E+000    3.084157267E+000
t48      6.927305669E-001    2.931880582E-003   -1.286156491E+000   -1.056129611E+000    4.878414711E-002    1.826016085E+000
t49      1.654930577E-001    3.837098255E-002   -9.394798925E-002   -9.178992509E-002    1.663075053E-002    1.907440535E-001
t50      9.657182693E-001    2.060924159E+000   -2.873266742E-001   -7.351422381E+000   -1.517396824E-001    4.801774040E+000
t51      9.657182693E-001    2.115170160E+000   -4.279806542E+000   -2.815778283E+000   -2.975423798E-001    2.518890376E+000
t52      9.657182693E-001    4.088874808E+000   -8.217198694E+000   -5.581953803E+000    3.857810802E+000    1.620829884E+000
t53     -2.028286228E-001    1.393024396E+000   -2.487229789E+000    6.922519832E-001    6.432076256E-001   -6.429589013E-001
t54     -1.170471844E+000    4.033378831E+000    4.757868593E+000   -1.029474647E+001   -5.318774543E-001    1.917995634E+000
t55     -1.170471844E+000    4.141870832E+000   -3.227091144E+000   -1.223458273E+000   -8.234828492E-001   -2.647771693E+000
t56     -1.170471844E+000    4.319688006E+000   -6.769679200E+000    3.404033583E+000   -1.831951773E+000   -2.755865106E+000
t57      2.458327648E-001    3.502168304E+000   -2.792994701E+000   -1.286305779E-001   -7.238767562E-002   -8.413560845E-001
t58      3.797780428E-001    9.692057847E-004    3.737538988E-001    4.478832601E-001    2.898502676E-002    5.438716644E-001
t59      6.093579648E-001    3.446127299E+000    5.161514346E+000    6.533719542E+000    1.044839607E+000    1.092619770E+000
t61      6.093579648E-001    3.962293280E+000   -1.989373814E+000    6.167083640E+000   -2.018300533E+000   -3.047169109E+000
t62      6.093579648E-001    4.738045939E+000   -4.674436166E+000    3.702622209E+000   -2.248220046E+000   -3.389678424E+000
t63     -1.279827054E-001    3.223123212E+000   -1.924115230E+000   -3.040397640E+000    3.483202097E+000   -1.019513193E+000
t64     -1.089406436E-001   -2.866951185E-005    5.334295150E-002    1.035399935E-001   -7.197175364E-003   -8.813680408E-002
t65     -2.151850609E-001    7.354094607E-001    1.140276067E+000   -8.662082763E-001   -4.623276982E-001    5.210514793E-003
t66     -2.151850609E-001    5.842694640E-001   -2.536344920E-002   -1.175057693E+000    3.058543131E-001   -4.756815490E-001
t67     -2.151850609E-001    8.903867475E-001   -5.178707067E-001   -9.964157114E-001    9.268701657E-001   -5.925614941E-001
t68      4.519505423E-002    4.350052205E-001   -2.076389975E-001    7.162969919E-001   -7.628094834E-001   -2.214013240E-001
t69      0.000000000E+000    4.092947210E+000    1.179270855E+001   -2.664613589E+001   -5.698582015E+001   -4.929844376E+001
t70      0.000000000E+000   -8.596366788E-001    3.497764108E+000   -9.310710922E+000    3.719767995E-002   -5.149048931E+000
t71      0.000000000E+000   -2.231082494E+000    9.220155660E+000   -2.840547986E+001   -8.630916363E+000   -1.864230547E+001
t72      0.000000000E+000    4.685915178E-001    6.345013894E+000   -6.507017961E+000   -1.215778833E+001   -7.208816618E+000
t73      0.000000000E+000    9.657182693E-001    5.054593077E+000   -3.162605617E+000   -8.744559420E+000   -4.886748617E+000
t74      0.000000000E+000   -2.028286228E-001    1.190195773E+000   -1.297034016E+000   -6.047820332E-001    3.842559246E-002
t75      0.000000000E+000   -1.170471844E+000    3.149216162E+000   -3.620463039E+000   -2.164294562E-001   -2.048381229E+000
t76      0.000000000E+000    2.458327648E-001    3.748001069E+000    9.550063676E-001    8.263757897E-001    7.539881141E-001
t77      0.000000000E+000    6.093579648E-001    5.347403903E+000    6.729677372E-001    4.375589946E+000    2.127369900E+000
t78      0.000000000E+000   -1.279827054E-001    3.095140507E+000    1.171025277E+000   -1.869372364E+000    1.613829733E+000
t79      0.000000000E+000   -2.151850609E-001    6.752016866E-001    1.573309799E-001   -8.390847315E-001    8.778543414E-002
t80      0.000000000E+000    4.519505423E-002    4.802002748E-001    2.725612772E-001    9.888582692E-001    2.260487857E-001
t81      0.000000000E+000    7.119965168E-001    1.982637150E+000    2.032743531E-001   -1.000824238E+000   -2.095569672E-001
t82      1.000000000E+000    6.674148881E-001    1.790889625E+000    6.564334084E-001    1.730526484E+000    6.093936716E-001
t83      0.000000000E+000    3.797780428E-001    1.097457379E+000    3.147346105E-002    2.894059019E-001    3.603099651E-002
t84      0.000000000E+000    7.119965168E-001    1.982637150E+000    2.032743531E-001   -1.000824238E+000   -2.095569672E-001
t85      0.000000000E+000   -1.662925559E-001    3.954448126E-001   -1.717832958E-001    3.652632421E-001   -1.953031642E-001
t86      0.000000000E+000   -2.283447943E+000   -6.507451549E-001   -1.094915370E+001   -2.448542345E+000   -4.894733354E+000
t87      0.000000000E+000    5.381676333E-001    8.970502199E-001    5.533603802E-001   -1.049807469E+000    1.514096530E-001
t88      0.000000000E+000   -5.782337381E-001    1.245458417E+000    4.848097632E-001    5.224673026E+000    1.584030582E+000
t89      0.000000000E+000   -3.826765180E-001    1.959943218E+000   -5.488041060E+000   -7.113989452E+000   -5.450724743E+000
t90      0.000000000E+000    1.149425643E-001    1.525480532E-001    1.028702915E+000    9.449127847E-001    4.823593380E-001
t91      0.000000000E+000    0.000000000E+000    8.930275032E-001    4.072039725E-002    5.699931215E-001   -7.793074885E-001
t92      0.000000000E+000    1.015767259E-001    9.338198465E-001   -2.113908599E-001    5.929958590E-001   -2.374116551E-001
t93      0.000000000E+000    4.825021744E-001   -4.542875486E-001    8.255066674E-001    7.083881087E-001    6.046463724E-001
t94      0.000000000E+000    4.748654193E-001    1.328288485E+000    1.759852804E+000    1.033939321E+000    1.336677425E+000
t95      0.000000000E+000    4.173887314E-001    2.252525837E+000    2.863703643E-001   -3.044845635E-001    4.767936076E-002
t96      0.000000000E+000   -3.954810050E-001   -1.831730185E+000   -2.985073704E-001    2.131436337E+000   -2.329368638E-002
t97      0.000000000E+000    2.491241828E-001    1.163865430E+000    1.263645685E+000    1.054272328E+000    1.515433991E+000
t98      0.000000000E+000   -4.688191091E-002    1.222645772E-001    1.156236654E-001    1.156236654E-001   -3.694201515E-002
